track,artist,album,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Almost Cut My Hair,Stephen Stills,Cowboys For Indians,348108,1987,0,0.338,0.224,4.0,-17.998,0.0,0.0464,0.847,0.0,0.288,0.306,87.633,4.0
In My Dreams,Stephen Stills,Cowboys For Indians,336040,1987,0,0.277,0.197,0.0,-20.713,1.0,0.048,0.733,0.0,0.438,0.413,79.724,4.0
For Free,Stephen Stills,Cowboys For Indians,291280,1987,0,0.269,0.116,0.0,-18.524,1.0,0.0379,0.6,0.0,0.759,0.301,83.548,4.0
Carry Me,Stephen Stills,Cowboys For Indians,302426,1987,0,0.266,0.2,2.0,-19.943,1.0,0.0419,0.758,2.86e-06,0.39,0.502,91.185,4.0
Delta,Stephen Stills,Cowboys For Indians,461253,1987,0,0.413,0.201,3.0,-18.939,1.0,0.156,0.851,5.29e-06,0.77,0.186,114.074,4.0
Compass,Stephen Stills,Cowboys For Indians,262106,1987,0,0.311,0.142,11.0,-20.965,0.0,0.0409,0.874,1.14e-06,0.979,0.277,120.01,4.0
Guinnevere,Stephen Stills,Cowboys For Indians,447506,1987,0,0.439,0.123,2.0,-20.075,1.0,0.0332,0.667,2.04e-06,0.501,0.236,98.681,4.0
The Lee Shore Feat. David Lindley,Stephen Stills,Cowboys For Indians,355546,1987,0,0.372,0.187,4.0,-19.018,0.0,0.0304,0.888,0.00055,0.198,0.373,73.433,4.0
Long Time Gone Feat. David Lindley,Stephen Stills,Cowboys For Indians,407560,1987,0,0.333,0.326,7.0,-17.317,1.0,0.041,0.863,0.00211,0.693,0.462,183.618,4.0
Teach Your Children Feat. David Lindley,Stephen Stills,Cowboys For Indians,252640,1987,0,0.279,0.289,2.0,-18.383,1.0,0.0374,0.859,0.00114,0.258,0.666,82.016,4.0
50/50,Stephen Stills,Right By You,263373,1984,5,0.713,0.629,7.0,-13.067,1.0,0.0632,0.0632,0.000251,0.0254,0.913,102.568,4.0
